shape,x,y,width,height,x_func,y_func,x_scale,y_scale,x_cycle_size,y_cycle_size,x_offset,y_offset,red,green,blue
rect,0.0,0.0,2.0,2.0,lin,lin,0.0,0.0,1,1,0,0,0,191,255
rect,0.4,0.6,0.3,0.3,lin,lin,0.0,0.0,1,1,0,0,240,191,0
rect,0.0,-0.5,2.0,1.0,lin,lin,0.0,0.0,1,1,0,0,120,241,0
rect,0.0,0.24,0.3,0.1,lin,lin,2.3,0.0,1600,1600,0,0,150,221,255
rect,0.0,0.34,0.3,0.2,lin,lin,2.3,0.0,1600,1600,400,0,150,221,255
rect,0.0,0.20,0.2,0.1,lin,lin,2.3,0.0,1600,1600,600,0,150,221,255
rect,0.0,0.10,0.2,0.15,lin,lin,2.3,0.0,1600,1600,900,0,150,221,255
tri,0.0,0.02,0.45,0.05,lin,lin,2.3,0.0,1600,1600,0,0,50,50,50
tri,0.0,0.02,0.45,0.05,lin,lin,2.3,0.0,1600,1600,230,0,50,50,50
tri,0.0,0.045,0.45,0.10,lin,lin,2.3,0.0,1600,1600,400,0,50,50,50
tri,0.0,0.02,0.35,0.05,lin,lin,2.3,0.0,1600,1600,600,0,50,50,50
tri,0.0,0.02,0.35,0.05,lin,lin,2.3,0.0,1600,1600,840,0,50,50,50
tri,0.0,0.02,0.35,0.05,lin,lin,2.3,0.0,1600,1600,1020,0,50,50,50
tri,0.0,0.02,0.35,0.05,lin,lin,2.3,0.0,1600,1600,1200,0,50,50,50
tri,0.0,0.02,0.35,0.05,lin,lin,2.3,0.0,1600,1600,1380,0,50,50,50
rect,0.0,0.54,0.15,0.05,lin,lin,-3.0,0.0,900,900,0,0,200,200,200
tri,0.0,-0.1,0.2,0.2,lin,lin,4.0,0.0,700,700,0,0,0,110,0
tri,0.0,-0.1,0.2,0.2,lin,lin,4.0,0.0,700,700,45,0,0,110,0
tri,0.0,-0.1,0.2,0.2,lin,lin,4.0,0.0,700,700,80,0,0,130,0
tri,0.0,-0.1,0.2,0.2,lin,lin,4.0,0.0,700,700,125,0,0,130,0
