shape,x,y,width,height,x_func,y_func,x_scale,y_scale,x_cycle_size,y_cycle_size,x_offset,y_offset,red,green,blue
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,0,0,0,255,0
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,5,5,0,255,5
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,10,10,0,255,10
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,15,15,0,255,15
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,20,20,0,255,20
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,25,25,0,255,25
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,30,30,0,255,30
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,35,35,0,255,35
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,40,40,0,255,40
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,45,45,0,255,45
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,50,50,0,255,50
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,55,55,0,255,55
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,60,60,0,255,60
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,65,65,0,255,65
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,70,70,0,255,70
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,75,75,0,255,75
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,80,80,0,255,80
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,85,85,0,255,85
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,90,90,0,255,90
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,95,95,0,255,95
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,100,100,0,255,100
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,105,105,0,255,105
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,110,110,0,255,110
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,115,115,0,255,115
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,120,120,0,255,120
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,125,125,0,255,125
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,130,130,0,255,130
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,135,135,0,255,135
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,140,140,0,255,140
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,145,145,0,255,145
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,150,150,0,255,150
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,155,155,0,255,155
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,160,160,0,255,160
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,165,165,0,255,165
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,170,170,0,255,170
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,175,175,0,255,175
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,180,180,0,255,180
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,185,185,0,255,185
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,190,190,0,255,190
rect,0.0,0.0,0.25,0.25,lin,sin,2.3,2.3,200,200,195,195,0,255,195
