shape,x,y,width,height,x_func,y_func,x_scale,y_scale,x_cycle_size,y_cycle_size,x_offset,y_offset,red,green,blue
rect,0.0,0.0,2.0,2.0,lin,lin,0.0,0.0,1,1,0,0,0,191,255
rect,0.0,-0.5,2.0,1.0,lin,lin,0.0,0.0,1,1,0,0,120,241,0
rect,0.0,-0.95,2.0,0.5,lin,lin,0.0,0.0,1,1,0,0,120,120,120
rect,0.0,0.2,0.15,0.45,lin,lin,2.3,0.0,1600,1600,0,0,50,50,50
rect,0.0,0.2,0.15,0.45,lin,lin,2.3,0.0,1600,1600,200,0,50,50,50
rect,0.0,0.2,0.15,0.45,lin,lin,2.3,0.0,1600,1600,400,0,50,50,50
rect,0.0,0.2,0.15,0.45,lin,lin,2.3,0.0,1600,1600,700,0,50,50,50
rect,0.0,-0.3,0.25,0.25,lin,lin,4.3,0.0,200,400,0,0,100,100,100
rect,0.0,-0.6,0.05,0.25,lin,lin,2.3,0.0,50,50,0,0,245,245,245
rect,0.0,-0.6,0.05,0.25,lin,lin,2.3,0.0,50,50,5,0,245,245,245
rect,0.0,-0.6,0.05,0.25,lin,lin,2.3,0.0,50,50,10,0,245,245,245
rect,0.0,-0.6,0.05,0.25,lin,lin,2.3,0.0,50,50,15,0,245,245,245
rect,0.0,-0.6,0.05,0.25,lin,lin,2.3,0.0,50,50,20,0,245,245,245
rect,0.0,-0.6,0.05,0.25,lin,lin,2.3,0.0,50,50,25,0,245,245,245
rect,0.0,-0.6,0.05,0.25,lin,lin,2.3,0.0,50,50,30,0,245,245,245
rect,0.0,-0.6,0.05,0.25,lin,lin,2.3,0.0,50,50,35,0,245,245,245
rect,0.0,-0.6,0.05,0.25,lin,lin,2.3,0.0,50,50,40,0,245,245,245
rect,0.0,-0.6,0.05,0.25,lin,lin,2.3,0.0,50,50,45,0,245,245,245
rect,0.0,-0.6,0.1,0.1,lin,sin,0.0,0.1,50,50,0,0,245,15,15
rect,0.5,-0.4,0.6,0.2,lin,sin,0.0,0.1,50,50,0,30,15,15,225
